2.225762557983398438e+01 2.176951026916503906e+01 2.100574874877929688e+01 2.161414337158203125e+01 2.091669654846191406e+01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan|1.498939514160156250e+01 1.417228889465332031e+01 1.483979225158691406e+01 1.583932495117187500e+01 1.588922691345214844e+01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
1.357652568817138672e+01 1.318611907958984375e+01 1.322825717926025391e+01 1.382499504089355469e+01 1.403340435028076172e+01 1.451838588714599609e+01 1.497146034240722656e+01 1.431712150573730469e+01 1.491825866699218750e+01 1.413845157623291016e+01 1.531199455261230469e+01 1.532263374328613281e+01 1.470141887664794922e+01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan|4.461911678314208984e+00 3.857370376586914062e+00 3.077791929244995117e+00 2.170021772384643555e+00 2.785298824310302734e+00 3.194346904754638672e+00 4.812887191772460938e+00 4.654824733734130859e+00 4.131874084472656250e+00 3.775112390518188477e+00 3.180203914642333984e+00 2.403632879257202148e+00 2.269798278808593750e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
5.598976612091064453e-01 1.097013115882873535e+00 9.967526793479919434e-01 1.237614750862121582e+00 -1.588725447654724121e-01 9.124600887298583984e-02 3.970381319522857666e-01 2.751014947891235352e+00 2.063624620437622070e+00 2.255324602127075195e+00 1.677146434783935547e+00 1.632022559642791748e-01 -6.019734740257263184e-01 -1.304229497909545898e-01 3.955174684524536133e-01 9.479098320007324219e-01 1.016848564147949219e+00 1.101079463958740234e+00 5.296369791030883789e-01 3.909351676702499390e-02 1.870224595069885254e+00 1.662047266960144043e+00 2.028683185577392578e+00 1.888634920120239258e+00 2.043527126312255859e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan|5.903839111328125000e+00 5.774148941040039062e+00 5.286044597625732422e+00 4.946469783782958984e+00 3.873672008514404297e+00 3.497434616088867188e+00 3.932261943817138672e+00 4.350362300872802734e+00 3.668061971664428711e+00 4.060693740844726562e+00 4.322640895843505859e+00 5.090749263763427734e+00 4.865356922149658203e+00 4.628739356994628906e+00 2.901551723480224609e+00 2.858494758605957031e+00 3.286039590835571289e+00 4.188707351684570312e+00 4.794569969177246094e+00 5.521965980529785156e+00 6.367796421051025391e+00 6.068688392639160156e+00 5.916120529174804688e+00 5.217262268066406250e+00 4.688823699951171875e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.554918289184570312e+00 8.305080413818359375e+00 7.753737926483154297e+00 7.347462654113769531e+00 6.901375770568847656e+00 7.290049552917480469e+00 6.209423542022705078e+00 6.489500045776367188e+00 6.727554321289062500e+00 7.447083473205566406e+00 7.476080894470214844e+00 8.017728805541992188e+00 7.973354816436767578e+00 7.914677143096923828e+00 8.387062072753906250e+00 8.255859375000000000e+00 7.746025085449218750e+00 7.387136936187744141e+00 6.983944416046142578e+00 6.462666034698486328e+00 6.175389289855957031e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan|-1.131529331207275391e+01 -1.178577327728271484e+01 -1.159080791473388672e+01 -1.174283981323242188e+01 -1.203827190399169922e+01 -1.258538913726806641e+01 -1.178747940063476562e+01 -1.131612491607666016e+01 -1.070000648498535156e+01 -9.945821762084960938e+00 -1.039287948608398438e+01 -1.017668342590332031e+01 -1.073928070068359375e+01 -1.221769809722900391e+01 -1.275841140747070312e+01 -1.342107772827148438e+01 -1.337261390686035156e+01 -1.367649745941162109e+01 -1.323233318328857422e+01 -1.286023998260498047e+01 -1.233993625640869141e+01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
7.445083141326904297e+00 7.716439723968505859e+00 7.578051090240478516e+00 7.631702899932861328e+00 6.882758140563964844e+00 6.696251392364501953e+00 6.782516479492187500e+00 6.095100402832031250e+00 5.396749496459960938e+00 5.029774188995361328e+00 4.859618186950683594e+00 5.555320739746093750e+00 6.169423103332519531e+00 6.686437606811523438e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan|-2.746785879135131836e+00 -2.106087923049926758e+00 -1.463719725608825684e+00 -6.774238348007202148e-01 -5.188521742820739746e-01 -1.086182475090026855e+00 -1.805156588554382324e+00 -1.402410030364990234e+00 -1.669220685958862305e+00 -2.891106605529785156e+00 -2.188951969146728516e+00 -2.445891618728637695e+00 -2.298635244369506836e+00 -2.643562316894531250e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
6.624232769012451172e+00 6.293148994445800781e+00 6.898402690887451172e+00 7.218577384948730469e+00 8.181608200073242188e+00 7.712315082550048828e+00 7.491177558898925781e+00 5.916120052337646484e+00 5.924168586730957031e+00 6.359856605529785156e+00 7.361850738525390625e+00 7.226027965545654297e+00 6.808128833770751953e+00 7.140700340270996094e+00 6.679749011993408203e+00 6.195347785949707031e+00 5.128707408905029297e+00 4.944815635681152344e+00 5.364457607269287109e+00 5.759229183197021484e+00 5.516694545745849609e+00 5.054081439971923828e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan|4.156892776489257812e+00 3.613769292831420898e+00 3.815185308456420898e+00 4.872637271881103516e+00 4.614867210388183594e+00 4.162929058074951172e+00 4.566670417785644531e+00 4.071577072143554688e+00 4.661395549774169922e+00 4.988422870635986328e+00 6.198754310607910156e+00 5.570267677307128906e+00 6.172190666198730469e+00 6.737534046173095703e+00 6.666985511779785156e+00 5.880292415618896484e+00 4.433267593383789062e+00 4.912528514862060547e+00 5.186959743499755859e+00 5.438789367675781250e+00 5.888927459716796875e+00 5.734289169311523438e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-2.967427968978881836e-01 -7.850862145423889160e-01 -1.482114791870117188e+00 -2.127182483673095703e+00 -1.873607873916625977e+00 -1.252245664596557617e+00 -1.066669464111328125e+00 -4.611156880855560303e-01 5.886862799525260925e-02 -1.567723900079727173e-01 -7.668969035148620605e-01 -1.178235650062561035e+00 -1.855931639671325684e+00 -2.308696985244750977e+00 -2.020926952362060547e+00 -1.440535068511962891e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan|-1.529471993446350098e+00 -1.182134270668029785e+00 -1.697811007499694824e+00 -1.809479355812072754e+00 -2.561005115509033203e+00 -3.010614395141601562e+00 -2.503849506378173828e+00 -2.346518516540527344e+00 -9.017537236213684082e-01 -2.748417556285858154e-01 -4.809736609458923340e-01 1.206176131963729858e-01 7.321716845035552979e-02 -2.847149372100830078e-01 -7.358236908912658691e-01 -9.449254870414733887e-01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
1.684601020812988281e+01 1.708629989624023438e+01 1.809228897094726562e+01 1.816900253295898438e+01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan|1.351267528533935547e+01 1.261058807373046875e+01 1.332116699218750000e+01 1.246243476867675781e+01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
4.578281879425048828e+00 5.061957836151123047e+00 5.643782615661621094e+00 5.332875251770019531e+00 5.856184482574462891e+00 5.702861309051513672e+00 6.362965583801269531e+00 6.733410835266113281e+00 7.303122043609619141e+00 7.928601264953613281e+00 7.427696228027343750e+00 6.881853103637695312e+00 6.825082778930664062e+00 7.900137424468994141e+00 7.452697277069091797e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan|1.425764560699462891e+00 2.125105619430541992e+00 2.094106435775756836e+00 9.029590487480163574e-01 1.330007433891296387e+00 4.052546024322509766e-01 1.440268158912658691e-01 7.106138467788696289e-01 3.934315145015716553e-01 1.759062647819519043e+00 2.308779954910278320e+00 2.120505332946777344e+00 1.455217361450195312e+00 1.005129694938659668e+00 1.273195505142211914e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.487225174903869629e-01 9.394066035747528076e-02 -5.303682684898376465e-01 -1.299835324287414551e+00 -8.963355422019958496e-01 -1.023321628570556641e+00 -1.008589267730712891e+00 -3.735391199588775635e-01 -8.741671442985534668e-01 -4.738879203796386719e-01 -4.693909883499145508e-01 5.257278308272361755e-02 5.850572586059570312e-01 7.356368899345397949e-01 3.616593182086944580e-01 -1.154859215021133423e-01 -1.987533688545227051e+00 -2.270749092102050781e+00 -2.057918548583984375e+00 -1.776073455810546875e+00 -1.285285502672195435e-01 3.259957432746887207e-01 -4.302200376987457275e-01 -1.184841275215148926e+00 -1.155698299407958984e+00 -1.427125573158264160e+00 -1.232704877853393555e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan|1.545979022979736328e+01 1.569449043273925781e+01 1.560909080505371094e+01 1.443937778472900391e+01 1.455533123016357422e+01 1.393934059143066406e+01 1.327117347717285156e+01 1.285939502716064453e+01 1.282523727416992188e+01 1.322017478942871094e+01 1.376181125640869141e+01 1.470216178894042969e+01 1.475621032714843750e+01 1.438978290557861328e+01 1.395768928527832031e+01 1.424994182586669922e+01 1.513664054870605469e+01 1.558056735992431641e+01 1.606557846069335938e+01 1.656464385986328125e+01 1.654982376098632812e+01 1.610611724853515625e+01 1.630834388732910156e+01 1.673869895935058594e+01 1.635434341430664062e+01 1.581473159790039062e+01 1.520339584350585938e+01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
1.628533935546875000e+01 1.633912277221679688e+01 1.649689865112304688e+01 1.643935585021972656e+01 1.616037559509277344e+01 1.572488498687744141e+01 1.509352016448974609e+01 1.402051925659179688e+01 1.453661823272705078e+01 1.497014331817626953e+01 1.561213016510009766e+01 1.574997138977050781e+01 1.493538570404052734e+01 1.418271255493164062e+01 1.458379650115966797e+01 1.525988960266113281e+01 1.533252429962158203e+01 1.501385021209716797e+01 1.409163379669189453e+01 1.434801101684570312e+01 1.413953781127929688e+01 1.414571475982666016e+01 1.460204315185546875e+01 1.550899791717529297e+01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan|1.874160647392272949e+00 2.428256988525390625e+00 3.103338241577148438e+00 3.662138938903808594e+00 4.025934219360351562e+00 3.877382516860961914e+00 3.858615398406982422e+00 2.724687814712524414e+00 3.091602563858032227e+00 2.668273925781250000e+00 2.361940860748291016e+00 1.549495577812194824e+00 1.745042800903320312e+00 2.016467332839965820e+00 2.273564338684082031e+00 1.934893250465393066e+00 1.155037641525268555e+00 5.680705904960632324e-01 -3.204286098480224609e-03 2.837093770503997803e-01 6.436192989349365234e-01 1.107989072799682617e+00 1.344586372375488281e+00 3.393905878067016602e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
